gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Enterococcus_B_lactis--RS_GCF_015751045.1,China,1
s__Gemmiger_formicilis--RS_GCF_900167555.1,feces,6
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,spring,1
s__Citrobacter_freundii--RS_GCF_011064845.1,marsh,1
s__Blautia_A_massiliensis--RS_GCF_001487165.1,human-associated habitat,9
s__Eggerthella_lenta--RS_GCF_000024265.1,anthropogenic terrestrial biome,1
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,agricultural ecosystem,1
s__Pseudomonas_E_syringae_M--RS_GCF_009176725.1,,54
s__Escherichia_marmotae--RS_GCF_002900365.1,,8
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,watercourse,42
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,dairy food product,2
s__Agathobacter_faecis--RS_GCF_001406815.1,watercourse,1
s__Bacillus_velezensis--RS_GCF_001461825.1,chicken,2
s__Bacteroides_uniformis--GB_GCA_025147485.1,forest biome,1
s__Mycoplasmopsis_bovis--RS_GCF_000183385.1,calf meat food product,29
s__Agathobacter_rectalis--GB_GCA_000020605.1,anthropogenic terrestrial biome,4
s__Citrobacter_freundii--RS_GCF_011064845.1,farmyard manure,2
s__Bacillus_safensis--RS_GCF_000691165.1,biome,6
s__Streptococcus_suis_W--RS_GCF_902702775.1,digestive system,1
s__Legionella_pneumophila--RS_GCF_000008485.1,wastewater treatment plant,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,leaf,1
s__Bacillus_subtilis--RS_GCF_000009045.1,terrestrial biome,1
s__Vibrio_cyclitrophicus--GB_GCA_024347435.1,,52
s__Limosilactobacillus_reuteri_E--RS_GCF_013694365.1,,25
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,field,8
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,Homo sapiens,1
s__Haemophilus_influenzae--RS_GCF_001457655.1,Homo sapiens,3
s__Parabacteroides_merdae--GB_GCA_025151215.1,watercourse,2
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,kimchi,1
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,soil,4
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,soil,2
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,glacier,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,sediment,2
s__Aeromonas_caviae--RS_GCF_000819785.1,Homo sapiens,3
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,dense settlement biome,1
s__Lactobacillus_iners--RS_GCF_000160875.1,,109
s__Xanthomonas_oryzae--RS_GCF_004136375.1,,5
s__Bacillus_pumilus--RS_GCF_900186955.1,,4
s__Streptococcus_mutans--RS_GCF_006739205.1,,2
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,Homo sapiens,50
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,Bos,4
s__Streptococcus_sp001556435--RS_GCF_009738225.1,watercourse,1
s__Clostridium_beijerinckii--RS_GCF_018223745.1,biome,11
s__Lactococcus_lactis--RS_GCF_900099625.1,food material,3
s__Bacillus_velezensis--RS_GCF_001461825.1,agricultural field,2
s__Citrobacter_braakii--RS_GCF_002075345.1,feces,1
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,milk,1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,sewage,10
s__Pediococcus_acidilactici--RS_GCF_000146325.1,feces,1
s__Faecalibacterium_longum--RS_GCF_020687245.1,microcosm,1
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,estuarine biome,1
s__Proteus_mirabilis--RS_GCF_000160755.1,feces,2
s__Streptococcus_pyogenes--RS_GCF_002055535.1,terrestrial biome,1
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,animal-associated environment,1
s__Sinorhizobium_meliloti--RS_GCF_017876815.1,grassland biome,1
s__Bacillus_safensis--RS_GCF_000691165.1,sediment,1
s__Akkermansia_muciniphila--RS_GCF_000020225.1,,47
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,,16
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,human-associated habitat,1
s__Enterococcus_B_faecium--RS_GCF_001544255.1,Homo sapiens,4
s__Bacteroides_stercoris--GB_GCA_025147325.1,watercourse,5
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,village,1
s__Xanthomonas_A_translucens--RS_GCF_000331775.1,Bacteria,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,alpine,1
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,feces,2
s__Bacillus_licheniformis--RS_GCF_000011645.1,terrestrial biome,1
s__Yersinia_ruckeri--RS_GCF_000754815.1,fresh water,38
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,skin environment,1
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,human-associated habitat,1
s__Bacteroides_ovatus--RS_GCF_001314995.1,forest biome,1
s__Helicobacter_pylori--RS_GCF_900478295.1,watercourse,4
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,agricultural ecosystem,1
s__Vibrio_lentus--RS_GCF_014878155.1,,88
s__Rhizobium_laguerreae--RS_GCF_002008165.1,,5
