feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS13880,,,Polysaccharide biosynthesis protein WlaX,putative 3'-5' exonuclease PolB-like domain-containing protein,"Predicted metal-dependent 3'→5' exonuclease (RNase H-like/PolB exonuclease family) that is frequently genomically linked and cofit with the (p)ppGpp synthetase/hydrolase GTP pyrophosphokinase (RelA/SpoT), consistent with a role in stringent-response–associated nucleic acid metabolism needed for fitness during growth on amino-acid nitrogen sources and under diverse stresses.",specific,specific,specific,other_specific,RAST,Polysaccharide biosynthesis protein WlaX
ACIAD_RS13875,ACIAD3069,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190),23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,"S-adenosyl-L-methionine–dependent 23S rRNA uracil-C5 methyltransferase (RlmD), catalyzing formation of m5U1939 and supporting ribosome function; homolog mutants show reduced fitness in defined media and under multiple antibiotic/stress conditions.",specific,specific,specific,enzyme,RAST,23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)
ACIAD_RS13870,,,"Inactive (p)ppGpp 3'-pyrophosphohydrolase domain;GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I",GTP pyrophosphokinase,"RelA/SpoT family (p)ppGpp alarmone synthetase (and likely hydrolase) implicated in stringent response regulation, with C-terminal TGS/RIS/ACT regulatory domains.",specific,specific,specific,enzyme,RAST,"Inactive (p)ppGpp 3'-pyrophosphohydrolase domain;GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I"
ACIAD_RS13865,ACIAD3067,,"Oxidoreductase, short-chain dehydrogenase/reductase family",SDR family oxidoreductase,Putative NAD(P)-dependent oxidoreductase of the short-chain dehydrogenase/reductase (SDR) family.,specific,specific,specific,enzyme,RAST,"Oxidoreductase, short-chain dehydrogenase/reductase family"
ACIAD_RS13860,ACIAD3065,mazG,Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8),nucleoside triphosphate pyrophosphohydrolase,"MazG-family nucleoside triphosphate pyrophosphohydrolase predicted to hydrolyze (d)NTPs (nucleotide-pool sanitization/stress response), contributing to optimal growth as mutants show decreased fitness in defined CPG medium.",specific,specific,specific,enzyme,RAST,Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)
ACIAD_RS13855,ACIAD3064,,"Late competence protein ComEA, DNA receptor",Transporter,"Putative ComEA-family competence protein with helix–hairpin–helix (HhH) DNA-binding domain, likely involved in binding extracellular DNA during natural transformation (DNA uptake).",specific,specific,specific,other_specific,RAST,"Late competence protein ComEA, DNA receptor"
ACIAD_RS13850,ACIAD3063,pcnB,Poly(A) polymerase (EC 2.7.7.19),Poly(A) polymerase I,"Poly(A) polymerase I (PcnB)-family nucleotidyltransferase that adds short 3′ poly(A) tails to bacterial RNAs, influencing RNA processing/turnover and thereby affecting growth on acetyl-CoA/acetate-related substrates.",specific,specific,specific,enzyme,RAST,Poly(A) polymerase (EC 2.7.7.19)
ACIAD_RS13845,,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3),2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,"Predicted 7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (HPPK/FolK), catalyzing conversion of 6-hydroxymethyl-7,8-dihydropterin to its pyrophosphate intermediate in de novo folate biosynthesis.",specific,specific,specific,enzyme,RAST,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
ACIAD_RS13840,,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),3-methyl-2-oxobutanoate hydroxymethyltransferase,"Ketopantoate hydroxymethyltransferase (PanB), catalyzing formation of 2-dehydropantoate (ketopantoate) from 3-methyl-2-oxobutanoate using 5,10-methylenetetrahydrofolate in the pantothenate (vitamin B5) biosynthesis pathway.",specific,specific,specific,enzyme,RAST,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)
ACIAD_RS13835,,panC,Pantoate--beta-alanine ligase (EC 6.3.2.1),pantoate--beta-alanine ligase,"Catalyzes the ATP-dependent ligation of pantoate to beta-alanine to form pantothenate (vitamin B5), supporting coenzyme A biosynthesis and thus CoA-dependent carbon/nitrogen metabolism.",specific,specific,specific,enzyme,RAST,Pantoate--beta-alanine ligase (EC 6.3.2.1)
ACIAD_RS13830,ACIAD3059,rapZ,RNase adapter protein RapZ,RNase adapter RapZ,"RapZ-like P-loop NTPase implicated in envelope lipid homeostasis, likely functioning with adjacent acyl carrier proteins and acyltransferases to support fatty acid/phospholipid biosynthesis and stress tolerance.",specific,specific,specific,other_specific,RAST,RNase adapter protein RapZ
ACIAD_RS13825,ACIAD3058,ptsH,"Phosphocarrier protein, nitrogen regulation associated",Phosphocarrier protein NPr,"HPr-like phosphocarrier protein of the phosphoenolpyruvate-dependent phosphotransferase system (PTS), likely transferring phosphate from PtsI (enzyme I) to sugar-specific EII components and contributing to carbon source utilization and stress/temperature fitness.",specific,specific,specific,other_specific,RAST,"Phosphocarrier protein, nitrogen regulation associated"
ACIAD_RS13820,ACIAD3057,yjgA,Sodium-dependent phosphate transporter,ribosome biogenesis factor YjgA,"Dual-action ribosomal maturation protein DarP, implicated in bacterial ribosome biogenesis/maturation.",specific,specific,specific,transporter,RAST,Sodium-dependent phosphate transporter
ACIAD_RS13815,ACIAD3056,,3-methylmercaptopropionyl-CoA ligase (EC 6.2.1.44) of DmdB1 type,Acyl-CoA synthetase,"Predicted AMP-dependent synthetase/ligase (acyl-adenylate–forming enzyme), likely an acyl-CoA/acid-thiol ligase family member.",specific,specific,specific,enzyme,RAST,3-methylmercaptopropionyl-CoA ligase (EC 6.2.1.44) of DmdB1 type
ACIAD_RS13810,,thrS,Threonyl-tRNA synthetase (EC 6.1.1.3),threonine--tRNA ligase,Threonyl-tRNA synthetase (ThrRS; class IIa) that aminoacylates tRNA(Thr) with threonine and includes an editing domain to maintain translational fidelity.,specific,specific,specific,enzyme,RAST,Threonyl-tRNA synthetase (EC 6.1.1.3)
ACIAD_RS13805,,infC,Translation initiation factor 3,translation initiation factor IF-3,"Translation initiation factor IF-3 (InfC); binds the 30S ribosomal subunit to promote dissociation of 70S ribosomes and accurate translation initiation/start-codon selection, with transposon mutants showing strong fitness defects in multiple stress and nutrient conditions consistent with an important role in growth and stress adaptation.",specific,specific,specific,other_specific,RAST,Translation initiation factor 3
ACIAD_RS13800,,,16 kDa heat shock protein A,Small heat-shock protein,Small heat shock protein (Hsp20/alpha-crystallin family) molecular chaperone that helps prevent aggregation of denatured proteins during stress.,specific,specific,specific,other_specific,RAST,16 kDa heat shock protein A
ACIAD_RS13795,ACIAD3051,,Glutathione S-transferase (EC 2.5.1.18),Glutathione S-transferase,"Putative cytosolic glutathione S-transferase (GST)-family enzyme, likely catalyzing glutathione conjugation to electrophilic compounds for detoxification/redox homeostasis.",specific,specific,specific,enzyme,RAST,Glutathione S-transferase (EC 2.5.1.18)
ACIAD_RS13790,ACIAD3050,,probable membrane protein YPO3302,VTT domain-containing protein,"DedA/VTT family inner membrane protein, predicted transporter involved in membrane homeostasis (DedA domain-containing).",specific,specific,specific,other_specific,RAST,probable membrane protein YPO3302
ACIAD_RS13785,ACIAD3049,tonB,energy transducer TonB,TonB C-terminal domain-containing protein,"TonB-family inner membrane energy-transducer that couples the proton motive force to TonB-dependent outer membrane receptors, supporting uptake of scarce nutrients and fitness across diverse minimal-media growth conditions.",specific,specific,specific,other_specific,RAST,energy transducer TonB
ACIAD_RS13780,ACIAD3048,,Uncharacterized MFS-type transporter,Major facilitator superfamily (MFS) profile domain-containing protein,"Major facilitator superfamily (MFS) transmembrane transporter, likely involved in uptake/export of acidic amino acids (aspartate/glutamate) to support amino-acid utilization in diverse conditions.",specific,specific,specific,hypothetical,RAST,Uncharacterized MFS-type transporter
ACIAD_RS13775,,rpmI,LSU ribosomal protein L35p,50S ribosomal protein L35,"Encodes 50S ribosomal protein bL35, a small basic ribosomal subunit protein required for normal large-subunit function/translation and influencing cellular fitness under diverse stresses (including multiple antibiotics and oxidative/metal stresses).",specific,specific,specific,other_specific,RAST,LSU ribosomal protein L35p
ACIAD_RS13770,,rplT,LSU ribosomal protein L20p,50S ribosomal protein L20,Large ribosomal subunit protein bL20; structural component of the 50S ribosome involved in ribosome assembly and protein synthesis.,specific,specific,specific,other_specific,RAST,LSU ribosomal protein L20p
ACIAD_RS13760,ACIAD3044,,hypothetical protein,KOW domain-containing protein,"Predicted alkanesulfonate ABC transporter permease (SsuC-family) involved in import of organosulfonates for sulfur scavenging/assimilation, functioning with SsuD/SsuE alkanesulfonate monooxygenase system.",hypothetical,specific,specific,hypothetical,Bakta,KOW domain-containing protein
ACIAD_RS13755,ACIAD3043,,hypothetical protein,hypothetical protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS13750,,pheS,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),phenylalanine--tRNA ligase subunit alpha,"Phenylalanyl-tRNA synthetase alpha subunit (PheS), catalyzing ATP-dependent ligation of L-phenylalanine to tRNAPhe for protein translation (forms alpha2beta2 enzyme with PheT).",specific,specific,specific,enzyme,RAST,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
ACIAD_RS13745,,pheT,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),phenylalanine--tRNA ligase subunit beta,"Phenylalanyl-tRNA synthetase beta subunit (PheT), forms the class IIc PheRS enzyme that aminoacylates tRNA(Phe) with phenylalanine during protein translation.",specific,specific,specific,enzyme,RAST,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
ACIAD_RS13740,ACIAD3040,ihfA,Integration host factor alpha subunit,integration host factor subunit alpha,Integration host factor (IHF) alpha subunit (HU/IHF-family histone-like DNA-binding protein) involved in bending/structuring DNA for global transcriptional regulation and site-specific recombination.,specific,specific,specific,other_specific,RAST,Integration host factor alpha subunit
ACIAD_RS13735,,,hypothetical protein,Lipoprotein,"Putative ABC-type urea uptake transporter component (likely ATP-binding subunit UrtD/UrtE), implicated in nitrogen acquisition via urea transport.",hypothetical,specific,specific,hypothetical,Bakta,Lipoprotein
ACIAD_RS13730,,rho,Transcription termination factor Rho,transcription termination factor Rho,ATP-dependent transcription termination factor Rho; RNA-binding hexameric helicase/translocase that mediates Rho-dependent termination of transcription.,specific,specific,specific,regulator,RAST,Transcription termination factor Rho
ACIAD_RS13725,,trxA,Thioredoxin,thioredoxin,"Thioredoxin-family thiol–disulfide oxidoreductase likely maintaining cytosolic redox homeostasis and contributing to tolerance of multiple stresses (e.g., antibiotics, metals, nitrosative/oxidative conditions).",specific,specific,specific,other_specific,RAST,Thioredoxin
ACIAD_RS13720,,ppx,Exopolyphosphatase (EC 3.6.1.11),exopolyphosphatase,"GppA/Ppx-family soluble phosphatase that hydrolyzes guanosine pentaphosphate (pppGpp) and/or degrades inorganic polyphosphate (exopolyphosphatase), supporting stress tolerance and growth under diverse ionic/metal conditions.",specific,specific,specific,enzyme,RAST,Exopolyphosphatase (EC 3.6.1.11)
ACIAD_RS13710,,tilS,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19),tRNA(Ile)-lysidine synthase,"tRNA(Ile)-lysidine synthase (TilS), catalyzing lysidinylation of the wobble cytidine (C34) in tRNA(Ile) to ensure accurate decoding of AUA isoleucine codons and efficient growth.",specific,specific,specific,enzyme,RAST,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
ACIAD_RS13705,,proC,Pyrroline-5-carboxylate reductase (EC 1.5.1.2),pyrroline-5-carboxylate reductase,"Multisubunit monovalent cation/H+ antiporter (Mrp/Mnh/Pha) subunit F, contributing to Na+/K+ efflux and pH/salt homeostasis (important for growth under alkaline and ionic/osmotic stress).",specific,specific,specific,enzyme,RAST,Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
ACIAD_RS13700,ACIAD3031,ycf19,"Cell division integral membrane protein, YggT and half-length relatives",YggT family protein,"Putative CCB3/YggT-family respiratory factor, likely involved in biogenesis/maintenance of an aerobic terminal oxidase (cbb3-type cytochrome c oxidase), contributing to efficient growth on diverse carbon sources and resistance to envelope/metal stresses.",specific,specific,specific,other_specific,RAST,"Cell division integral membrane protein, YggT and half-length relatives"
ACIAD_RS13695,,polA,DNA polymerase I (EC 2.7.7.7),DNA polymerase I,"DNA polymerase I (family A) with N-terminal 5′→3′ exonuclease and central 3′→5′ exonuclease (proofreading) domains, likely functioning in DNA repair and Okazaki fragment processing during replication.",specific,specific,specific,enzyme,RAST,DNA polymerase I (EC 2.7.7.7)
ACIAD_RS13690,ACIAD3028,,DUF2339 domain-containing protein,DUF2339 domain-containing protein,,hypothetical,hypothetical,missing,other_specific,None available,
ACIAD_RS13685,ACIAD3026,,Potassium efflux system KefA protein;Small-conductance mechanosensitive channel,Small-conductance mechanosensitive channel,Mechanosensitive channel of small conductance (MscS family) that opens in response to membrane tension to release solutes and protect cells from hypo-osmotic shock.,specific,specific,specific,transporter,RAST,Potassium efflux system KefA protein;Small-conductance mechanosensitive channel
ACIAD_RS13680,ACIAD3025,,hypothetical protein,DUF432 domain-containing protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS13675,ACIAD3024,gspE,"Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB",type II secretion system ATPase GspE,"Putative secretion ATPase (GspE/PilB family AAA+ P-loop NTPase) associated with a type VI secretion system gene cluster, likely providing energy for secretion/assembly and contributing to fitness in specific growth and motility conditions.",specific,specific,specific,other_specific,RAST,"Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB"
ACIAD_RS13670,ACIAD3023,,Organic hydroperoxide resistance protein,Uncharacterized protein ACIAD3023,Thiol-dependent organic hydroperoxide reductase (OsmC/Ohr family) implicated in oxidative/chemical stress defense by detoxifying organic peroxides; mutants show altered fitness under multiple antibiotic and metal stresses.,specific,hypothetical,specific,other_specific,RAST,Organic hydroperoxide resistance protein
